Year,Institute,Opening Rank,Closing Rank
2021,Indian Institute of Information Technology Design & Manufacturing Kancheepuram,7613,16624
2022,Indian Institute of Information Technology Design & Manufacturing Kancheepuram,7419,15944
2023,Indian Institute of Information Technology Design & Manufacturing Kancheepuram,10753,16986
2020,Indian institute of information technology Raichur Karnataka,18429,23511
2021,Indian institute of information technology Raichur Karnataka,21546,26361
2022,Indian institute of information technology Raichur Karnataka,24340,29888
2023,Indian institute of information technology Raichur Karnataka,20583,33268
2020,Indian Institute of Information Technology Vadodara International Campus Diu (IIITVICD),17823,30298
2021,Indian Institute of Information Technology Vadodara International Campus Diu (IIITVICD),20254,32346
2022,Indian Institute of Information Technology Vadodara International Campus Diu (IIITVICD),23035,31786
2023,Indian Institute of Information Technology Vadodara International Campus Diu (IIITVICD),19329,34862
2023,Indian Institute of Technology (BHU) Varanasi,656,1079
2016,Indian Institute of Technology (BHU) Varanasi,500,772
2017,Indian Institute of Technology (BHU) Varanasi,479,935
2018,Indian Institute of Technology (BHU) Varanasi,527,904
2019,Indian Institute of Technology (BHU) Varanasi,509,796
2020,Indian Institute of Technology (BHU) Varanasi,502,885
2021,Indian Institute of Technology (BHU) Varanasi,602,873
2022,Indian Institute of Technology (BHU) Varanasi,426,897
2023,Indian Institute of Technology (ISM) Dhanbad,1853,3258
2017,Indian Institute of Technology (ISM) Dhanbad,1350,3239
2018,Indian Institute of Technology (ISM) Dhanbad,1182,2814
2019,Indian Institute of Technology (ISM) Dhanbad,1619,2770
2020,Indian Institute of Technology (ISM) Dhanbad,1296,3029
2021,Indian Institute of Technology (ISM) Dhanbad,907,2968
2022,Indian Institute of Technology (ISM) Dhanbad,1389,3009
2016,Indian Institute of Technology Bhilai,3146,5949
2017,Indian Institute of Technology Bhilai,4779,5504
2018,Indian Institute of Technology Bhilai,3904,5178
2019,Indian Institute of Technology Bhilai,3046,4903
2020,Indian Institute of Technology Bhilai,4300,5845
2021,Indian Institute of Technology Bhilai,3753,5644
2022,Indian Institute of Technology Bhilai,3952,5172
2023,Indian Institute of Technology Bhilai,3447,5791
2023,Indian Institute of Technology Bhubaneswar,1529,3101
2016,Indian Institute of Technology Bhubaneswar,1497,2783
2017,Indian Institute of Technology Bhubaneswar,1764,2635
2018,Indian Institute of Technology Bhubaneswar,1404,2092
2019,Indian Institute of Technology Bhubaneswar,1246,2031
2020,Indian Institute of Technology Bhubaneswar,1319,2251
2021,Indian Institute of Technology Bhubaneswar,1621,2304
2022,Indian Institute of Technology Bhubaneswar,1702,2769
2023,Indian Institute of Technology Bombay,1,67
2016,Indian Institute of Technology Bombay,1,60
2017,Indian Institute of Technology Bombay,1,62
2018,Indian Institute of Technology Bombay,1,59
2019,Indian Institute of Technology Bombay,1,63
2020,Indian Institute of Technology Bombay,2,66
2021,Indian Institute of Technology Bombay,1,67
2022,Indian Institute of Technology Bombay,2,61
2023,Indian Institute of Technology Delhi,16,118
2016,Indian Institute of Technology Delhi,24,115
2017,Indian Institute of Technology Delhi,3,104
2018,Indian Institute of Technology Delhi,3,100
2019,Indian Institute of Technology Delhi,2,93
2020,Indian Institute of Technology Delhi,31,105
2021,Indian Institute of Technology Delhi,3,100
2022,Indian Institute of Technology Delhi,29,102
2016,Indian Institute of Technology Dharwad,2914,5644
2017,Indian Institute of Technology Dharwad,3224,5008
2018,Indian Institute of Technology Dharwad,2671,4839
2019,Indian Institute of Technology Dharwad,2796,4395
2020,Indian Institute of Technology Dharwad,2512,5157
2021,Indian Institute of Technology Dharwad,3533,4718
2022,Indian Institute of Technology Dharwad,3944,4777
2023,Indian Institute of Technology Dharwad,3889,5978
